species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Noctule commune,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Océanite culblanc,Petits Oiseaux,Aves,Procellariiformes,Hydrobatidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Océanite tempête,Petits Oiseaux,Aves,Procellariiformes,Hydrobatidés,Autre oiseau d'eau,pending_domain_review,source description exact-name membership
Oedicnème criard,Grands Oiseaux,Aves,Charadriiformes,Burhinidés,Limicole,pending_domain_review,source description exact-name membership
Oie cendrée,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Oie des moissons,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Oie domestique,Grands Oiseaux,Aves,Ansériformes,Anatidés,Domestique,pending_domain_review,source description exact-name membership
Oie rieuse,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Oie à bec court,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Oie à tête barrée,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Oisillon,Petits Oiseaux,Aves,oisillon,oisillon,Autre oiseau,pending_domain_review,source description exact-name membership
Oreillard,Petits Oiseaux,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,source description exact-name membership
Oreillard roux,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Orite à longue queue,Petits Oiseaux,Aves,Passériformes,Aegithalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Orvet fragile,"Reptiles, Amphibiens",Reptilia,Squamata,Anguidae,Reptile,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Ouette d'Egypte,Grands Oiseaux,Aves,Ansériformes,Anatidés,Anatidé  / grèbe,pending_domain_review,source description exact-name membership
Outarde barbue,Grands Oiseaux,Aves,Otidiformes,Otididés,Autre oiseau,pending_domain_review,source description exact-name membership
Outarde canepetière,Grands Oiseaux,Aves,Otidiformes,Otididés,Autre oiseau,pending_domain_review,source description exact-name membership
Outarde houbara,Grands Oiseaux,Aves,Otidiformes,Otididés,Autre oiseau,pending_domain_review,source description exact-name membership
Panure à moustaches,Petits Oiseaux,Aves,Passériformes,Panuridés,Autre oiseau,pending_domain_review,source description exact-name membership
Paon,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Perdrix grise,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Perdrix rouge,Grands Oiseaux,Aves,Galliformes,Phasianidés,Autre oiseau,pending_domain_review,source description exact-name membership
Perruche ondulée,Moyens Oiseaux,Aves,Psittaciformes,Psittaculidée,Autre oiseau,pending_domain_review,source description exact-name membership
Perruche à collier,Moyens Oiseaux,Aves,Psittaciformes,Psittacidés,Autre oiseau,pending_domain_review,source description exact-name membership
Petit-duc scops,Rapaces,Aves,Strigiformes,Strigidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Phalarope à bec large,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Phalarope à bec étroit,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Phragmite aquatique,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Phragmite des joncs,Petits Oiseaux,Aves,Passériformes,Acrocéphalidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic cendré,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic mar,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic noir,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic vert,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic à dos blanc,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic épeiche,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pic épeichette,Moyens Oiseaux,Aves,Piciformes,Picidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pie bavarde,Grands Oiseaux,Aves,Passériformes,Corvidés,Corvidé,pending_domain_review,source description exact-name membership
Pie-grièche grise,Petits Oiseaux,Aves,Passériformes,Laniidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pie-grièche à poitrine rose,Petits Oiseaux,Aves,Passériformes,Laniidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pie-grièche à tête rousse,Petits Oiseaux,Aves,Passériformes,Laniidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pie-grièche écorcheur,Petits Oiseaux,Aves,Passériformes,Laniidés,Autre oiseau,pending_domain_review,source description exact-name membership
Pigeon biset féral,Petits Oiseaux,Aves,Columbiformes,Colombidés,Autre oiseau,pending_domain_review,taxonomy: Aves residual operational group
