ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP206,Hieraaetus pennatus,Aigle botté,Aves,Accipitriformes,Accipitridés,NS1,Rapace,SG1,0,0
SP207,Himantopus himantopus,Echasse blanche,Aves,Charadriiformes,Récurvirostridés,NS1,Limicole,SG1,0,0
SP208,Hippolais icterina,Hypolaïs ictérine,Aves,Passériformes,Acrocéphalidés,NS1,Autre oiseau,SG2,0,0
SP209,Hippolais polyglotta,Hypolaïs polyglotte,Aves,Passériformes,Acrocéphalidés,NS1,Autre oiseau,SG2,0,0
SP21,Anas clypeata,Canard souchet,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP210,Hirundo daurica,Hirondelle rousseline,Aves,Passériformes,Hirundinidés,NS1,Autre oiseau,SG2,0,0
SP211,Hirundo rustica,Hirondelle rustique,Aves,Passériformes,Hirundinidés,NS1,Autre oiseau,SG2,0,0
SP212,Hydrobates pelagicus,Océanite tempête,Aves,Procellariiformes,Hydrobatidés,NS1,Autre oiseau d'eau,SG1,0,0
SP213,Hyla arborea,Rainette verte,Amphibia,Anura,Hylidae,NS1,Batracien,SG2,0,0
SP214,Ichthyosaura alpestris,Triton alpestre,Amphibia,Caudata,Salamandridae,NS1,Batracien,SG2,0,0
SP215,Ixobrychus minutus,Blongios nain,Aves,Pélécaniformes,Ardeidés,NS1,Grand échassier,SG1,0,0
SP216,Jynx torquilla,Torcol fourmilier,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP217,Lacerta agilis,Lézard des souches,Reptilia,Squamata,Lacertidae,NS1,Reptile,SG2,0,0
SP218,Lagopus lagopus,Lagopède,Aves,Galliformes,Phasianidés,NS1,Autre oiseau,SG2,0,0
SP219,Lanius collurio,Pie-grièche écorcheur,Aves,Passériformes,Laniidés,NS1,Autre oiseau,SG2,0,0
SP22,Anas crecca,Sarcelle d'hiver,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,1
SP220,Lanius excubitor,Pie-grièche grise,Aves,Passériformes,Laniidés,NS1,Autre oiseau,SG2,0,0
SP221,Lanius minor,Pie-grièche à poitrine rose,Aves,Passériformes,Laniidés,NS1,Autre oiseau,SG2,0,0
SP222,Lanius senator,Pie-grièche à tête rousse,Aves,Passériformes,Laniidés,NS1,Autre oiseau,SG2,0,0
SP223,Larus argentatus,Goéland argenté,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP224,Larus cachinnans,Goéland pontique,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP225,Larus canus,Goéland cendré,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP226,Larus fuscus,Goéland brun,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP227,Larus glaucoides,Goéland à ailes blanches,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP228,Larus hyperboreus,Goéland bourgmestre,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP229,Larus marinus,Goéland marin,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP23,Anas discors,Sarcelle à ailes bleues,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,0,0
SP230,Larus melanocephalus,Mouette mélanocéphale,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP231,Larus michahellis,Goéland leucophée,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP232,Larus minutus,Mouette pygmée,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP233,Larus ridibundus,Mouette rieuse,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP234,Larus sabini,Mouette de Sabine,Aves,Charadriiformes,Laridés,NS1,Laridé,SG1,0,0
SP235,Lepus europaeus,Lièvre d'Europe,Mammalia,Lagomorpha,Léporidés,NS1,Mammifère taille moyenne,SG3,1,1
SP236,Limicola falcinellus,Bécasseau falcinelle,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP237,Limosa lapponica,Barge rousse,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP238,Limosa limosa,Barge à queue noire,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP239,Lissotriton helveticus,Triton palmé,Amphibia,Caudata,Salamandridae,NS1,Batracien,SG2,0,0
SP24,Anas penelope,Canard siffleur,Aves,Ansériformes,Anatidés,NS1,Anatidé  / grèbe,SG1,1,0
SP240,Lissotriton vulgaris,Triton ponctué,Amphibia,Caudata,Salamandridae,NS1,Batracien,SG2,0,0
SP241,Lithobates catesbeianus,Grenouille taureau,Amphibia,Anura,Ranidae,NS3,Batracien,SG2,0,0
SP242,Locustella fluviatilis,Locustelle fluviatile,Aves,Passériformes,Locustellidés,NS1,Autre oiseau,SG2,0,0
SP243,Locustella luscinioides,Locustelle luscinoïde,Aves,Passériformes,Locustellidés,NS1,Autre oiseau,SG2,0,0
SP244,Locustella naevia,Locustelle tachetée,Aves,Passériformes,Locustellidés,NS1,Autre oiseau,SG2,0,0
